name,genre,gender,team_type,appearance_fee,billions_club_status,2billions_club_status,5billions_club_status,10billions_club_status,company_name,insta_followers,award_history,youtube_subscriber_count,youtube_views,recent_mv_upload_count,recent_mv_avg_view,grade
주니엘,"발라드, 국내드라마, 록/메탈",여,솔로,72500000,0,0,0,0,케이타이거즈 주식회사,73000,2,177000,38232067,0,1173073,5
블라세(BLASE),"랩/힙합, 인디음악, 애니메이션/웹툰",남 ,솔로,9500000,0,0,0,0,엣에어리어,91000,0,22500,76680548,0,149175,1
에일리 ,"발라드, 댄스, 국내드라마",여 ,솔로,7000000,1,0,0,0,팝뮤직,1640000,8,806000,420382869,9,426706,1
에픽하이,"랩/힙합, 댄스, 국내드라마",남,그룹,72500000,1,0,0,0,아워즈/EN management,233000,22,1150000,776556197,3,1324302,5
박지훈,"댄스, R&B/Soul, 랩/힙합",남 ,솔로,72500000,0,0,0,0,마루기획(주),6620000,5,1100000,80346106,0,1322816,5
FIFTYFIFTY,"댄스, POP, 발라드",여 ,그룹,72500000,0,0,0,0,attrakt,799000,9,2040000,803077994,45,1089715,5
더윈드(The Wind),"댄스, 발라드",남 ,그룹,7000000,0,0,0,0,위드어스엔터테인먼트,230000,1,742000,43765181,14,243571,1
DK(디셈버),"발라드, 국내드라마, 록/메탈",남,솔로,8500000,0,0,0,0,메이저9,35000,3,0,0,0,0,1
V.O.S,"발라드, R&B/Soul, 댄스",남,그룹,7000000,0,0,0,0,무소속,1464,1,0,0,0,0,1
거미 ,"발라드, R&B/Soul, 국내드라마",여 ,솔로,25000000,1,0,0,0,아메바컬쳐,10000,11,0,0,0,0,3
케이윌 K.will,"발라드, 국내드라마, 댄스",남 ,솔로,25000000,1,1,0,0,스타쉽 엔터테인먼트,102000,13,0,0,0,0,3
십센치(10CM),"포크/블루스, 인디음악, 발라드",남,솔로,25000000,1,1,0,0,씨에이엠위더스 주식회사,478000,6,20400,778160712,7,75040,3
김종현,"댄스, 발라드, 랩/힙합",남,솔로,72500000,0,0,0,0,에버모어(주),1070000,1,0,0,0,0,5
고스트나인,"댄스, 발라드, R&B/Soul",남,그룹,7000000,0,0,0,0,마루기획(주),332000,1,262000,79296513,4,875427,1
현아,"댄스, 발라드, 랩/힙합",여,솔로,1000000000,0,0,0,0,엣에어리어,16270000,8,2990000,659864674,2,10078186,8
루시드 폴,"포크/블루스, 인디음악, 일렉트로니카",남,솔로,15000000,0,0,0,0,안테나,12000,2,0,0,0,0,2
박재범(Jay Park),"랩/힙합, R&B/Soul, 댄스",남,솔로,72500000,1,0,0,0,MORE VISION,3330000,13,3530000,1588855196,22,356145,5
오반(OVAN),"랩/힙합, 인디음악, R&B/Soul",남,솔로,15000000,0,0,0,0,로맨틱 팩토리,82000,0,0,0,0,0,2
박재정,"발라드, 국내드라마, 록/메탈",남,솔로,25000000,0,0,0,0,로맨틱 팩토리,130000,5,13900,159566732,3,0,3
스윙스,"랩/힙합, 국내드라마, 발라드",남 ,솔로,35000000,1,0,0,0,린치핀뮤직/인디고뮤직,440000,0,219000,127477333,0,145231,4
크러쉬,"R&B/Soul, 발라드, 댄스",남 ,솔로,70000000,1,1,0,0,피네이션,2750000,11,760000,700217036,0,1966928,4
화사,"댄스, R&B/Soul, 발라드",여,솔로,70000000,0,0,0,0,피네이션,8670000,10,1550000,579817593,0,8167632,4
장덕철,"발라드, 국내드라마, 댄스",남,그룹,1500000,0,0,0,0,레이벡스,731,2,21000,111943581,2,85482,1
아이콘(iKON),"랩/힙합, 댄스, 발라드",남 ,그룹,72500000,1,0,0,0,143엔터테인먼트,3570000,20,291000,131278257,0,40747,5
에이핑크,"댄스, 발라드, POP",여,그룹,72500000,1,0,0,0,아이에스티 엔터테인먼트,1030000,25,1440000,719709152,1,2038820,5
이예준,"발라드, 국내드라마, 댄스",여,솔로,7000000,0,0,0,0,HNS HQ,3600,1,0,0,0,0,1
비(RAIN),"댄스, 발라드, R&B/Soul",남,솔로,72500000,0,0,0,0,(주)제이에프컴퍼니,3330000,29,435000,131166862,0,1141433,5
청하,"댄스, 발라드, 국내드라마",여,솔로,45000000,1,0,0,0,MORE VISION,492000,20,344000,481518582,16,891076,4
최예나(YENA),"댄스, 록/메탈, R&B/Soul",여,솔로,25000000,0,0,0,0,위에화엔터테인먼트,2840000,7,547000,326526056,0,1453775,3
유성은,"발라드, 국내드라마, R&B/Soul",여 ,솔로,7000000,0,0,0,0,제이지스타,23000,1,0,0,0,0,1
지올팍,"록/메탈, 랩/힙합, 국내드라마",남,솔로,25000000,0,0,0,0,Beautiful Noise,126000,0,188000,81015269,2,1773632,3
어반자카파,"발라드, R&B/Soul, 국내드라마",혼성,그룹,30000000,1,0,0,0,주식회사 앤드류컴퍼니,3380,2,63800,197119534,3,107943,3
주호 ,"발라드, 국내드라마, R&B/Soul",남,솔로,1500000,0,0,0,0,레이벡스,16000,0,43500,86314634,0,222448,1
적재,"록/메탈, 발라드, 국내드라마",남,솔로,23000000,0,0,0,0,ABYSS COMPANY,275000,1,119000,213080570,0,24949,3
하현상,"록/메탈, 국내드라마, 발라드",남,솔로,25000000,0,0,0,0,CJ ENM,68000,1,210000,177003940,6,340591,3
보라미유,"발라드, 인디음악, 국내드라마",여 ,솔로,5000000,0,0,0,0,쇼파르엔터테인먼트,64000,0,487000,140086204,0,42696,1
